,Date,Time,Activation,Q&A?,Pre-event tech check complete?,Partner,Title,Description,PS Manager,Moderator,Responsible for Screen Recording,Any technical issues?,Detail/ Comments,Reschedule required?,Reschedule status,Rescheduled Date,Rescheduled Time,Screen record UUID,Screen records link,Vimeo Link,Room Access Link,UUID_extracted
10,"Wednesday, December 2",1.30pm - 2pm,Live Masterclass,True,False,Carnext,CarNext.com: Scaling through data and technology,"CarNext.com is a demand-driven marketplace that connects customers with cars in a smart way. In-house, we've designed and built self-learning algorithms to power the platform across Europe, and scale from one customer to millions. In addition, CarNext.com develops state-of-the-art products to make buying a car online a reality.",Aaron,Aaron,Fin,,,,,,,WS20_134_858027719_PTH_MTC,Hyperlink to Aaron folder,,,858027719
11,"Wednesday, December 2",1.30pm - 2pm,Pre-recorded Masterclass,False,False,Huawei ,Growing apps beyond borders: A pathway to success,"Many in the mobile application sector regularly ask, ‘How do you get an app to take off in the lucrative and ever-growing app market?’ Take a deep dive into AppGallery and explore more opportunities.",Conor,Conor,,,,,,,,,,,,
12,"Wednesday, December 2",2pm - 2.30pm,Pre-recorded Masterclass,True,False,GTAI,"Germany: Punctual, serious…digital? – Part 1","Don’t believe Germany is digital? This overview of our digital hubs should give you an idea of how we connect entrepreneurs, investors, businesses and other partners. In this session, we’ll introduce our digital hubs for health, chemistry, smart infrastructure and AI – meet our founders and get to know their outstanding ideas and business models!",Rebecca C,Rebecca C,,,,,,,,,,,,
13,"Wednesday, December 2",2pm - 2.30pm,Pre-recorded Masterclass,True,False,Siemens,From head to helmet through 3D printing,"Dive into the world of 3D-printed products, from houses to bicycle helmets, and learn more about how industrialised additive manufacturing enables mass customisation. Join the masterclass to find out!",Janina,Janina,,,,,,,,,,,,
14,"Wednesday, December 2",2pm - 2.30pm,Live Masterclass,False,False,Falcon.io,2021 social media trends,"This year has been a rollercoaster ride for marketers. In these turbulent times, marketing has required a great deal of tact and sensitivity, and the ability to ‘read the room’ is key. There are clear trends and shifts emerging, which will impact how we conduct our marketing activities. Join Falcon.io’s Dino Kuckovic, director of community and events, to discuss how we can tackle 2021 one marketing trend at a time.",Gary,Allison,Jen,,,,,,,WS20_65_780050418_PTH_MTC,Hyperlink to Aaron folder,,,780050418
15,"Wednesday, December 2",2pm - 2.30pm,Pre-recorded Masterclass,,False,AWS,Customer-driven essentials,"""Before you build anything, you should know who you're building for, in what market, and if your solution solves a problem they have”. In this session, Henri Zietsman – the AWS startup community rep for South Africa – will examine this insight from Steve Blank, the methodology for discovering customers, and how to validate that enough of them will buy your product to create a viable business.",Conor,Beca,,,,,,,,,,,,
16,"Wednesday, December 2",2pm - 2.30pm,Pre-recorded Masterclass,False,False,Huawei ,Connect your customers with your business with HUAWEI Business Connect,"Join Huawei Business connect, list your business, and get more traffic from Petal Map, Petal Search and other Huawei services.",Conor,Grace,,,,,,,,,,,,
17,"Wednesday, December 2",2pm- 2.45pm,Targeted RT,,,Accenture,Cloud and systems: Operating in a new reality,"In today’s uncertain world, cloud and operating systems must cope with new chances and new challenges. This session explores how IT and business leaders can keep their operations stable, and cost and quality high, while utilising the innovation potential of public cloud.",Janina,Karl,,,,,,,,,,,,
18,"Wednesday, December 2",2pm- 2.45pm,Targeted RT,,,Siemens,Beyond the hype: How will you be working in 2025?,"Is the office as we know it dead? Will flexible working live up to the hype? And what will be the long-term impact on people, business and society as we redefine the future of work? Let’s discuss.",Janina,Keith,,,,,,,,,,,,
19,"Wednesday, December 2",2pm- 2.45pm,GA RT,,,CM.com,,,Gary,Gary,,,,,,,,,,,,
20,"Wednesday, December 2",2pm- 2.45pm,Targeted RT,,,HERE Technologies,Reduce the cost and uncertainty of last-mile deliveries,"Managing deliveries in urban environments can be complex and costly. In this roundtable, HERE Technologies will discuss the measures organisations are taking to improve the planning and execution of last-mile deliveries",Janina,Mirella,,,,,,,,,,,,
21,"Wednesday, December 2",2.30pm - 3pm,Pre-recorded Masterclass,,False,AWS,Tools for building your MVP,"This session is for startups that want to find out about the best ways to build a minimal viable product (MVP) on AWS. You’ll get an overview of how startups build MVPs using services including API Gateway, Amplify, Lambda, Managed Kubernetes on AWS, Lightsail, and Database.",Conor,Aoileann,,,,,,,,,,,,
22,"Wednesday, December 2",2.30pm - 3pm,Live Masterclass,True,False,Cloudflare,API security: threats and mitigation strategies,"APIs are the lifeblood of modern Internet-connected services and they are becoming an increasingly popular target for cyber attacks. Daniele Molteni, Firewall Product Manager at Cloudflare, will discuss the most common security threats for API traffic and what technologies can be deployed to identify vulnerabilities and defend critical infrastructure.",Aaron,Aaron,Michael,,,,,,,WS20_17_780050358_PTH_MTC,Hyperlink to Aaron folder,,,780050358
23,"Wednesday, December 2",2.30pm - 3pm,Pre-recorded Masterclass,True,False,Tech.mt,Malta as a leading tech hub,"Tech.mt CEO Dana Farrugia will delve into how the company is contributing to the establishment of Malta as a leading tech hub. Dana will also touch on what makes Malta an attractive place for growth and investment, with particular focus on doing business in the country; on Malta’s financial and economic success; and on its pioneering establishment of regulatory frameworks for fields such as crypto and AI. ",Elaine,Henry,,,,,,,,,,,,
24,"Wednesday, December 2",2.30pm - 3pm,Live Masterclass,True,False,PagerDuty,Don't be a bystander – be an incident commander,"The incident commander serves as the final decision-maker during a major incident, delegating tasks and listening to input from subject matter experts in order to bring the incident to resolution. Join this masterclass to learn how to develop an incident response process that welcomes multiple incident commanders without compromising response effectiveness – a process that can be immediately applied within your organisation.",Allison,Fin,Craig,,,,,,,WS20_69_780050440_PTH_MTC,Hyperlink to Aaron folder,,,780050440
25,"Wednesday, December 2",2.30pm - 3pm,Pre-recorded Masterclass,False,False,Huawei ,Huawei AppGallery Connect: New intelligent development,"Join the launch of AppGallery Connect in Europe to see how it can simplify app development with lower costs, and improve application quality and operation efficiency through 49 available services.",Conor,Karena,,,,,,,,,,,,
26,"Wednesday, December 2",3pm - 3.30pm ,Live Masterclass,True,False,Trentino Sviluppo,AI for health in an open public-private ecosystem,"Paolo Traverso, head of the Bruno Kessler Foundation’s Centre for Information Technology, presents a new approach (conceived in Trentino) for how AI can provide solutions for continuous virtual coaching in relation to chronic diseases, and provide predictive models for pandemic prevention. The key drivers of this model are co-innovation labs involving a range of companies – which allow for 'testing before investing' – and the open software platforms that are the base of the company’s solutions.",Allison,Eoin,Marie,,,,,,,WS20_1_776164775_PTH_MTC,Hyperlink to Aaron folder,,,776164775
27,"Wednesday, December 2",3pm - 3.30pm ,Pre-recorded Masterclass,,False,eToro,Retail investors are reshaping the investment landscape,"Journey through the evolution of fintech, discovering how technology, millennials and events such as Covid-19 are putting the power back into investors’ hands, and learning what those investors fund and how.",Allison,Allison,,,,,,,,,,,,
28,"Wednesday, December 2",3pm - 3.30pm ,Live Masterclass,True,False,AWS,Ask an expert: Getting started on AWS,"Whether you want to build your first website or application, explore storage options, or simply learn best practices for leveraging the benefits of the cloud, join AWS startup advocate Rob de Feo on this live session, where he answers your top questions on getting started on AWS.",Conor,Grace,Ciara,,,,,,,WS20_26_780050419_PTH_MTC,Hyperlink to Aaron folder,,,780050419
29,"Wednesday, December 2",3pm - 3.30pm ,Live Masterclass,True,False,Google,High-performing technology teams,"DevOps is an organisational and cultural movement that aims to increase software delivery velocity, improve service reliability, and build shared ownership among stakeholders. Google research has validated four metrics that provide a high-level systems view of software delivery and performance, and predict an organisation’s ability to achieve its goals. Leave this masterclass with a clear understanding of the capabilities your team should focus on to improve your software delivery capabilities.",Elaine,Tom,Cathal,,,,,,,WS20_95_780050467_PTH_MTC,Hyperlink to Aaron folder,,,780050467
30,"Wednesday, December 2",3pm - 3.30pm ,Live Masterclass,True,False,Hubspot,A playbook for resilient growth,Change is a constant. A resilient growth model is the best defence against it. Learn how to create an aligned strategy and strong foundation for scale to navigate through turbulent times.,Beca,Clem,Mirella,,,,,,,WS20_62_780050394_PTH_MTC,Hyperlink to Aaron folder,,,780050394
31,"Wednesday, December 2",3pm- 3.45pm,Targeted RT,,,CI&T,How to make autonomous multidisciplinary teams work,"Cross-functional teams are one of those simple and powerful concepts that, nevertheless, has a very hard implementation. Join this session to discuss the main pitfalls inherent in getting cross-functional teams to deliver on their promise of speed and creativity.",Janina,Janina,,,,,,,,,,,,
32,"Wednesday, December 2",3pm- 3.45pm,Targeted RT,,,Accenture,Technology innovation: Incubating the future,This roundtable will address what works well and what does not. What ideas are put in the drawer and which really add value? How do you get beyond the proof of technology to scale and transform your enterprise? Get a glance at what else is now on the technology radar.,Janina,Jen,,,,,,,,,,,,
33,"Wednesday, December 2",3pm- 3.45pm,Targeted RT,,,Siemens,Urban mobility: What are the next big trends?,"Covid-19 has had a huge impact on public transport and changed the way people travel. How can we make passengers feel safe again, and ensure a more seamless and sustainable mobility ecosystem?",Janina,Paddy G,,,,,,,,,,,,
34,"Wednesday, December 2",3pm- 3.45pm,GA RT,,,XCDS,Co-authoring docs: What’s good and what’s still missing?,Why does teamwork on docs need to be faster and better? Where does it still need to catch up? How can you arrange teamwork to achieve results faster and with better quality? Which tools/features are still missing? Find the answers here. ,Aaron,Micky,,,,,,,,,,,,
35,"Wednesday, December 2",3pm- 3.45pm,Targeted RT,,,British Embassy Lisbon,UK Tech Rocketship: Looking for Europe’s best scale-ups,"Interactive session on Tech Rocketship awards, the global entrepreneur programme, and the UK's offer to tech companies taking the next great leap to scale-up in the number-one country in Europe for unicorns.",Beca,Jake,,,,,,,,,,,,
36,"Wednesday, December 2",3.30pm - 4pm,Pre-recorded Masterclass,True,False,Hive Streaming,Surviving change: Inclusive employee video communication,"The world is changing at an unprecedented speed. Businesses must re-invent themselves to keep growing – or worse, simply to survive.

When changing rapidly, businesses’ future success depends on their biggest asset: their employees. For people to embrace and contribute to change, they must not only believe in the direction, but also feel emotionally vested in it.

This presentation covers why inclusive employee video communication is paramount to survive and thrive in these turbulent times.",Rebecca C,Aoileann,,,,,,,,,,,,
37,"Wednesday, December 2",3.30pm - 4pm,Pre-recorded Masterclass,True,False,Siemens,AI with impact: Can AI create a more sustainable world?,"AI has proven its potential in a variety of fields, and is expected to do so much more in the future. Still, it polarises due to the risks and side effects that come along with it. How can we ensure that AI focuses on creating a more sustainable world?",Janina,Janina,,,,,,,,,,,,
38,"Wednesday, December 2",3.30pm - 4pm,Live Masterclass,False,False,Samsung NEXT,"When every brand is global, how do you stand out?","Today, every brand has the capacity to 'go worldwide'. What do marketing, brand and creative leaders need to consider when geography is no longer a barrier? Join Tiffany Rolfe, global chief creative officer at R/GA, and Angie Lee, global head of marketing and communications at Samsung Next as they discuss the pitfalls and opportunities in scaling a global brand.",Beca,Beca,Henry,,,,,,,WS20_72_780050398_PTH_MTC,Hyperlink to Aaron folder,,,780050398
39,"Wednesday, December 2",3.30pm - 4pm,Live Masterclass,True,False,Microsoft ,,,Conor,Conor,Michael,,,,,,,,Hyperlink to Aaron folder,,,
40,"Wednesday, December 2",3.30pm - 4pm,Pre-recorded Masterclass,False,False,Huawei ,"Huawei Content Connect: Create to connect, engage to inspire","Grow audience and buzz around Huawei's Video Content Connect, a one-stop platform that connects content creators with worldwide users via easy operation management and content monetisation tools.",Conor,Aaron,,,,,,,,,,,,
41,"Wednesday, December 2",4pm - 4.30pm,Pre-recorded Masterclass,True,False,bp,How to build an inclusive innovation culture,"Meghan Sharp, the global head of BP ventures, will share her insights on why diversity and inclusion matter in innovation. She’ll talk about how being comfortable with ‘messiness’ can drive innovation.",Elaine,Elaine,,,,,,,,,,,,
42,"Wednesday, December 2",4pm - 4.30pm,Live Masterclass,False,False,IOHK (Cardano),The great reset: Blockchain edition,IOHK founder and CEO Charles Hoskinson discusses how blockchain technology is uniquely positioned to reset the world after the coming global depression. This session envisages blockchain as a future tool for securing economic identity and prosperity in a decentralised world.,Beca,Gary,Fin,,,,,,,WS20_76_780050444_PTH_MTC,Hyperlink to Aaron folder,,,780050444
43,"Wednesday, December 2",4pm - 4.30pm,Live Masterclass,True,False,Google,SRE best practices: Monitoring and observability,"Whether your company has an active SRE practice or whether you are looking for thoughts on how to get started, join the Google team to learn about the services offered by Google Cloud that contribute to SRE best practices. We'll give you an overview of SRE, discuss error budgets, and review the tools available within Google Cloud for monitoring, then give you pointers on how to get started.",Elaine,Karl,Marie,,,,,,,WS20_96_780050474_PTH_MTC,Hyperlink to Aaron folder,,,780050474
44,"Wednesday, December 2",4pm - 4.30pm,Live Masterclass,,False,CI&T,"Data-led consumer intimacy: How Nestlé is growing, now","Learn how Nestlé is using digital tools and data technology – in partnership with retailers – to learn faster, accelerate revenue growth and improve consumer engagement.",Janina,Craig,Ciara,,,,,,,WS20_111_780050584_PTH_MTC,Hyperlink to Aaron folder,,,780050584
45,"Wednesday, December 2",4pm - 4.30pm,Pre-recorded Masterclass,False,False,Huawei ,Petal Maps: A new way to let the world discover you,Petal Maps offers a well-functioning map app to end users. Huawei invites local businesses to expore a new growth channel by integrating with services such as online reservation and driver-hailing.,Conor,Tom,,,,,,,,,,,,
46,"Wednesday, December 2",4pm- 4.45pm,Targeted RT,,,Race to Zero,Climate Tech: How will innovation solve climate change?,"Climate tech is poised to eat the world. What's hype, what's not, and what should we be asking of it?

Join Sophie Purdom, investor and author at Climate Tech VC, in discussion with leading founders.",Beca,Cathal,,,,,,,,,,,,
47,"Wednesday, December 2",4pm- 4.45pm,Targeted RT,,,GALP,Giants awake! The digital path towards the new consumer,Large traditional businesses are allying to the tech ecosystem to pursue digital transformation. The challenge is clear: adapt to new client and consumer demands and be ahead in the race.,Beca,Keith,,,,,,,,,,,,
48,"Wednesday, December 2",4.30pm - 5pm,Live Masterclass,False,False,Samsung NEXT,Embracing the inside and outside to drive innovation,"What drives innovation— unlocking the human potential from inside your organization, or understanding the needs of the outside consumer? Join Jeff Lawson, co-founder and CEO at Twilio, a decades-long market leader in software innovation, and David Eun, President of Samsung Next and Chief Innovation Officer of Samsung Electronics, as they talk about the importance of unleashing talent, while understanding customer needs to drive enduring innovation and loyalty.",Beca,Rebecca C,Michael,,,,,,,WS20_71_780050387_PTH_MTC,Hyperlink to Aaron folder,,,780050387
49,"Wednesday, December 2",4.30pm - 5pm,Live Masterclass,False,False,Accenture,Migrate towards a greener cloud [Hosted by Accenture],"Companies have historically driven financial, security and agility benefits through cloud, but sustainability is becoming an imperative. In this masterclass, discuss how to choose wisely to gain unprecedented levels of innovation, leading to both a greener planet and a greener balance sheet.",Janina,Nas,Karena,,,,,,,WS20_129_858027337_PTH_MTC,Hyperlink to Aaron folder,,,858027337
50,"Wednesday, December 2",4.30pm - 5pm,Live Masterclass,False,False,Accenture,Embedding security in your cloud environment [Hosted by Accenture],"As companies migrate to cloud to accelerate their digital transformation and exploit growth opportunities, they need to embrace an end-to-end approach to cloud and infrastructure security that protects from the inside out, unlocks value, and maximises return. This session explores how to embed security in a cloud environment.",Janina,Aoileann,Grace,,,,,,,WS20_130_858027386_PTH_MTC,Hyperlink to Aaron folder,,,858027386
51,"Wednesday, December 2",4.30pm - 5pm,Live Masterclass,True,False,Globalization Partners ,Borders aren’t boundaries: What leaders need to know,"Success in modern-day business is measured through an array of metrics, such as profitability, revenue, brand recognition and customer satisfaction. Business leaders can reap the benefits of planned international expansion by tapping into global markets to achieve these goals. Join a panel of experts from Globalization Partners, KPMG, Morgan McKinley and Tech London Advocates as they explore the building blocks of successful international expansion.",Elaine,Allison,Eoin,,,,,,,WS20_82_780050489_PTH_MTC,Hyperlink to Aaron folder,,,780050489
52,"Wednesday, December 2",4.30pm - 5pm,Pre-recorded Masterclass,False,False,Huawei ,Green telco: Huawei's value proposition,"Huawei gives an overview of the ICT digital greenhouse gas footprint, comparing it with other industry sectors and offering a recommendation on how to fulfil ambitious GHG neutrality targets.",Conor,Clem,,,,,,,,,,,,
53,"Wednesday, December 2",5pm - 5.30pm,Live Masterclass,False,False,Miele X,Miele X: When tradition meets digital innovation,"Team members from Miele X, the new digital hub of iconic brand Miele, share key take-aways, how-tos and digital best practices from the digital transformation of the company's global marketing and sales division.",Beca,Beca,Craig,,,,,,,WS20_14_779548656_PTH_MTC,Hyperlink to Aaron folder,,,779548656
54,"Wednesday, December 2",5pm - 5.30pm,Live Masterclass,True,False,Rightpoint,"Leading with Mindfulness, Your Innovation Growth Model","The pandemic, social movements, shift to remote working and changes in customer expectations have highlighted the importance of a “Connected Human Experience.” Leaders are seizing the moment to re-frame the ‘old,’ while empowering change. 

Learn how to combine principles of mindfulness, design, and purposeful technology to supercharge growth. Imagine the possibilities when your business is connected and acting with empathy. Create impactful outcomes by giving people the experiences they crave.",Aaron,Aaron,Marie,,,,,,,WS20_113_780050601_PTH_MTC,Hyperlink to Aaron folder,,,780050601
55,"Wednesday, December 2",5pm - 5.30pm,Live Masterclass,True,False,Sendbird,Building human-to-human connections at infinite scale,"Providing more opportunities to interact digitally with one another is pivotal to doing business in our increasingly online world. Learn how to build modern messaging systems at scale and provide a trusted, best-in-class user experience.",Rebecca C,Paddy G,Mirella,,,,,,,WS20_99_780050366-PTH_MTC,Hyperlink to Aaron folder,,,780050366-PTH
56,"Wednesday, December 2",5pm - 5.30pm,Live Masterclass,True,False,Microsoft ,Selling through Microsoft Azure Marketplace,"Overview of the Microsoft commercial marketplace, including Microsoft AppSource, Azure Marketplace, offer types, and Marketplace Rewards. Learn if solutions similar to yours are sold there.",Conor,Elaine,Ciara,,,,,,,WS20_118_780050351_PTH_MTC,Hyperlink to Aaron folder,,,780050351
57,"Wednesday, December 2",5pm - 5.30pm,Pre-recorded Masterclass,False,False,Huawei ,"Empowering lifestyle, with Huawei AppGallery","In 2020, businesses are going online and people’s lifestyles are changing accordingly. In this session, we will look deeper into how online and delivery services change and impact people’s lifestyle, and how Huawei is cooperating with partners to boost their businesses.",Conor,Micky,,,,,,,,,,,,
58,"Wednesday, December 2",5pm- 5.45pm,GA RT,,,Cloudflare,Introducing the future of the corporate network,"In this roundtable, Jen Taylor, Cloudflare's chief product officer, will discuss the challenges of managing a secure network today, along with a new vision for how to utilise the network to connect users to resources securely without performance tradeoffs.",,Henry,,,,,,,,,,,,
59,"Wednesday, December 2",5.30pm - 6pm ,Live Masterclass,,False,Siemens,Making our roads safer with AI,"By applying deep learning and computer vision methods, we can estimate traffic safety indicators in interactions of autonomous vehicles with different classes of road users. We’ll be presenting the methodology developed to analyse traffic safety metrics from data collected by a drone [overhead video] of real traffic use-cases. Aligning machine learning and video analytics to infer traffic safety can help make our roads safer in the future.",Janina,Janina,Eoin,,,,,,,WS20_68_780050438_PTH_MTC,Hyperlink to Aaron folder,,,780050438
60,"Wednesday, December 2",5.30pm - 6pm ,Live Masterclass,False,False,HERE Technologies,Mapping without maps,"In this session, Raymon Camden will illustrate multiple ways you can use mapping services that do not rely on interactive maps, including emailed routing directions and even voice assistant integration.",Janina,Rebecca C,Cathal,,,,,,,WS20_110_780050575_PTH_MTC,Hyperlink to Aaron folder,,,780050575
61,"Wednesday, December 2",5.30pm - 6pm ,Live Masterclass,True,False,Startup Portugal (movinn),Soft-landing in a new country in times of Covid-19,"Setting-up in a new location somewhere across the globe, whether to enter into a new market or set up an R&D center, is always a cumbersome journey – a journey starting with extensive due diligence that provides you with a clear understanding of the ins and outs, and of the pros and cons of the different possible destination(s). Understanding the hard facts, such as available talent, tax and legislation, along with soft fact such as culture and lifestyle, are paramount before making a decision.",Elaine,Gary,Tom,,,,,,,WS20_106_780050543_PTH_MTC,Hyperlink to Aaron folder,,,780050543
62,"Wednesday, December 2",5.30pm - 6pm ,Live Masterclass,False,False,Orchid Labs,Decentralization is the new encryption,"The privacy promised by encryption is over. Legislated government access has defeated the purpose of encryption. The next frontier is decentralisation, and it’s leading to a brighter future for internet privacy.",Aaron,Fin,Jen,,,,,,,WS20_114_780050607_PTH_MTC,Hyperlink to Aaron folder,,,780050607
63,"Wednesday, December 2",6pm - 6.30pm,Live Masterclass,True,False,PMI,What got you here won’t get you there: Getting to the next level,"You’ve succeeded as a lean startup, and you’ve grown. But, to thrive, you need to rethink how you work, and how you’re organised.  Learn how to become a disciplined agile organisation.",Elaine,Allison,Paddy G,,,,,,,WS20_93_780050454_PTH_MTC,Hyperlink to Aaron folder,,,780050454
64,"Wednesday, December 2",6pm - 6.30pm,Live Masterclass,True,False,Lisbon Mayor's Office,Welcome to Lisbon's entrepreneurial scene,"Why is Lisbon “Europe’s best capital to work and play”? Why is now the right time to be in Lisbon? In this masterclass, you'll learn the answers to these questions, and many more. You'll get to know the hot players in the market, and understand not just the startup landscape but also why talent – and many tech companies – are moving to the White City. The session will also cover some ecosystem incentives, and how you can get started if you want to move to Lisbon!",Elaine,Conor,Jen,,,,,,,WS20_116_780050622_PTH_MTC,Hyperlink to Aaron folder,,,780050622
65,,,,,,,,,,,,,,,,,,,,,,
66,"Thursday, December 3",12pm- 12.45pm,GA RT,,,Radar Payments,Rapidly transforming the world of payments,"From contactless payments to virtual cards, we are living through a revolution. Businesses need to move promptly if they are to take advantage of the opportunities in the global payments business.",Gary,Henry,,,,,,,,,,,,
67,"Thursday, December 3",12pm- 12.45pm,GA RT,,,mercedes-benz.io,DevSecOps: Chasing delivery nirvana,"In the idyllic DevSecOps scenario, we have developers using a stable and secure platform for fast delivery of new features. But what is needed to achieve this? What does this involve? And are we there yet?",Elaine,Elaine,,,,,,,,,,,,
68,"Thursday, December 3",12pm- 12.45pm,Targeted RT,,,Lisbon City Council,,,Elaine,Tom,,,,,,,,,,,,
69,"Thursday, December 3",12:30pm- 1pm,Live Masterclass,True,False,Siemens ,How IoT will change the world,"Is IoT a silver bullet to solve all the big challenges of our time? Can it keep people safe? Is it sustainable? How is it helping cities to thrive? Answers to these and many more questions in this session with Siemens CSO and CTO Dr Peter Körte, and Aymeric Sarrazin, CEO of Siemens Advanta, the IoT consulting and implementation branch of Siemens.",Janina,Janina,Eoin,,,,,,,WS20_10_779548618_PTH_MTC,Hyperlink to Aaron folder,,,779548618
70,"Thursday, December 3",12:30pm- 1pm,Pre-recorded Masterclass,False,False,Pantheon,Your website is a digital product,"Digital marketing teams have been transitioning to agile workflows for the past decade, yet many organisations still struggle to bridge silos between marketing, product, design and development. With watershed events such as Covid-19, the need for a more collaborative approach is only exacerbated. In order to meet the moment, we have to look at our websites differently — as an extension of our product offering and an embodiment of our companies' missions.",Gary,Gary,,,,,,,,,,,,
71,"Thursday, December 3",1pm - 1.30pm,Live Masterclass,True,False,Siemens,My journey to predictive maintenance for railways,"Hear from Siemens chief data scientist, Michael Taylor, on his journey to predictive maintenance for railways. Four years ago, Michael was introduced to the company and the technologies it was working on. He knew this was the company for him. It’s a treasure trove for big data – rail vehicles, for example, send 1–4 billion data points per year. Everything Siemens does is motivated by a desire to innovate faster and to become even closer to their customers.",Janina,Ciara,Aoileann,,,,,,,WS20_13_779548646_PTH_MTC,Hyperlink to Aaron folder,,,779548646
72,"Thursday, December 3",1pm - 1.30pm,Live Masterclass,False,False,Falcon.io,Maintaining mental health as digital marketing managers,"Shitstorms, Covid-19, being a one-person team... Shall we continue? The workload of a social media manager seems endless, with constant changes and a new crisis seemingly brewing each day. No one is immune to stress, and a valuable lesson to learn is that it is OK to not be OK! In this session, we will address how to balance both job and mind by discussing challenges, coping mechanisms and strategies to help improve your mental health and empower you to go from good to great.",Gary,Aaron,Marie,,,,,,,WS20_66_780050426_PTH_MTC,Hyperlink to Aaron folder,,,780050426
73,"Thursday, December 3",1pm - 1.30pm,Pre-recorded Masterclass,True,False,Rangle.io,Does creating your customer experience save you money?,"You create amazing user experiences. You care about customer centricity. But are you making these great experiences in the way that's the most efficient for your business? You can create consistent and on-brand experiences, and see capital efficiency, with a design system. More than just a tool for practitioners, design systems have benefits for your whole business. They make for less risk, less rework and less delay, with positive impacts on your budgeting and overall spend.",Gary,Rebecca C,,,,,,,,,,,,
74,"Thursday, December 3",1pm - 1.30pm,Live Masterclass,False,False,Microsoft ,Microsoft Azure fundamentals,"Start your Azure learning with the foundations of cloud services, then follow with core data concepts, and move on to common machine learning and AI workloads.",Conor,Allison,Jen,,,,,,,WS20_119_780050361_PTH_MTC,Hyperlink to Aaron folder,,,780050361
